CONFIG
Key,Value
Our Mon,Moltres Galar
Calc Species Shell,Moltres Galar
Ability,Overcoat
Item,Heavy-Duty Boots
Nature,Jolly
Moves,"Beak Blast, Crunch, Taunt"
EVs,"{""hp"":164,""atk"":600,""def"":164,""spa"":0,""spd"":0,""spe"":72}"
IVs,"{""hp"":31,""atk"":31,""def"":31,""spa"":31,""spd"":2,""spe"":31}"
safeRepeatedSwitchMaxPct,33
safeSingleSwitchMaxPct,50

ALL MATCHUPS
Opponent,Bucket,We Switch Into Them,They Switch Into Us,Our Best Move,Our Damage Min %,Our Damage Max %,Their Best Move,Damage Into Us Min %,Damage Into Us Max %,Our Speed,Opp Speed,Summary,Debug
Landorus-Therian (Defensive Pivot),Switch-in,Safe,No,Beak Blast,33.2,39.3,U-turn,17.7,21.0,257,218,our best hit: Beak Blast (33.2-39.3%); worst hit into us: U-turn (17.7-21.0%); we are faster; Beak Blast strongly punishes weaker contact lines,"Loaded set: Landorus-Therian / Defensive Pivot || Threat moves considered: Earthquake, U-turn || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":false,""hasStatusRecovery"":false,""hasDrainRecovery"":false,""statusRecoveryMoves"":[],""drainMoves"":[],""bestDrainMove"":null,""statusRecoveryPct"":0,""drainRecoveryPct"":0,""bestRecoveryPct"":0} || Pivot profile: {""hasPivot"":true,""hasContactPivot"":true,""hasNonContactPivot"":false,""contactPivotMoves"":[""U-turn""],""nonContactPivotMoves"":[]} || Status profile: {""hasStatus"":false,""hasStatusMoves"":false,""hasSecondaryStatusMoves"":false,""statusMoves"":[],""secondaryStatusMoves"":[]} || Setup profile: {""hasSetup"":false,""hasDefensiveSetup"":false,""hasNonDefensiveSetup"":false,""defensiveSetupMoves"":[],""nonDefensiveSetupMoves"":[]} || Switch-in axes before logic: weIntoThem=Safe, theyIntoUs=No || After recovery logic: weIntoThem=Safe, theyIntoUs=No || After pivot logic: weIntoThem=Safe, theyIntoUs=No || After status logic: weIntoThem=Safe, theyIntoUs=No || After setup logic: weIntoThem=Safe, theyIntoUs=No || After knock logic: weIntoThem=Safe, theyIntoUs=No || After speed/OHKO logic: weIntoThem=Safe, theyIntoUs=No || Derived bucket from adjusted axes: Switch-in"
Equilibra (SpDef),Pressures,No,No,Crunch,33.1,39.0,Doom Desire,49.2,58.0,257,156,our best hit: Crunch (33.1-39.0%); worst hit into us: Doom Desire (49.2-58.0%); we are faster; Beak Blast strongly punishes weaker contact lines; faster Taunt blocks status moves,"Loaded set: Equilibra / SpDef || Threat moves considered: Earth Power, Doom Desire, Rapid Spin || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":false,""hasStatusRecovery"":false,""hasDrainRecovery"":false,""statusRecoveryMoves"":[],""drainMoves"":[],""bestDrainMove"":null,""statusRecoveryPct"":0,""drainRecoveryPct"":0,""bestRecoveryPct"":0} || Pivot profile: {""hasPivot"":false,""hasContactPivot"":false,""hasNonContactPivot"":false,""contactPivotMoves"":[],""nonContactPivotMoves"":[]} || Status profile: {""hasStatus"":true,""hasStatusMoves"":true,""hasSecondaryStatusMoves"":false,""statusMoves"":[""Pain Split""],""secondaryStatusMoves"":[]} || Setup profile: {""hasSetup"":false,""hasDefensiveSetup"":false,""hasNonDefensiveSetup"":false,""defensiveSetupMoves"":[],""nonDefensiveSetupMoves"":[]} || Switch-in axes before logic: weIntoThem=No, theyIntoUs=No || After recovery logic: weIntoThem=No, theyIntoUs=No || After pivot logic: weIntoThem=No, theyIntoUs=No || After status logic: weIntoThem=No, theyIntoUs=No || After setup logic: weIntoThem=No, theyIntoUs=No || After knock logic: weIntoThem=No, theyIntoUs=No || After speed/OHKO logic: weIntoThem=No, theyIntoUs=No || Derived bucket from adjusted axes: Pressures"
Dragonite (Dragon Dance),Pressures,No,No,Beak Blast,26.0,30.7,Ice Spinner,49.7,59.1,257,259,our best hit: Beak Blast (26.0-30.7%); worst hit into us: Ice Spinner (49.7-59.1%); they are faster; Beak Blast strongly punishes weaker contact lines; status moves threaten the interaction,"Loaded set: Dragonite / Dragon Dance || Threat moves considered: Ice Spinner, Earthquake, Extreme Speed || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":false,""hasStatusRecovery"":false,""hasDrainRecovery"":false,""statusRecoveryMoves"":[],""drainMoves"":[],""bestDrainMove"":null,""statusRecoveryPct"":0,""drainRecoveryPct"":0,""bestRecoveryPct"":0} || Pivot profile: {""hasPivot"":false,""hasContactPivot"":false,""hasNonContactPivot"":false,""contactPivotMoves"":[],""nonContactPivotMoves"":[]} || Status profile: {""hasStatus"":true,""hasStatusMoves"":true,""hasSecondaryStatusMoves"":false,""statusMoves"":[""Dragon Dance""],""secondaryStatusMoves"":[]} || Setup profile: {""hasSetup"":true,""hasDefensiveSetup"":false,""hasNonDefensiveSetup"":true,""defensiveSetupMoves"":[],""nonDefensiveSetupMoves"":[""Dragon Dance""]} || Switch-in axes before logic: weIntoThem=No, theyIntoUs=No || After recovery logic: weIntoThem=No, theyIntoUs=No || After pivot logic: weIntoThem=No, theyIntoUs=No || After status logic: weIntoThem=No, theyIntoUs=No || After setup logic: weIntoThem=No, theyIntoUs=No || After knock logic: weIntoThem=No, theyIntoUs=No || After speed/OHKO logic: weIntoThem=No, theyIntoUs=No || Derived bucket from adjusted axes: Pressures"
Clefable (PhysDef),Pressures,No,No,Beak Blast,36.5,42.9,Moonblast,50.3,59.7,257,156,our best hit: Beak Blast (36.5-42.9%); worst hit into us: Moonblast (50.3-59.7%); we are faster; faster Taunt blocks status recovery; Beak Blast strongly punishes weaker contact lines; faster Taunt blocks status moves,"Loaded set: Clefable / PhysDef || Threat moves considered: Moonblast, Knock Off || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":true,""hasStatusRecovery"":true,""hasDrainRecovery"":false,""statusRecoveryMoves"":[""Soft-Boiled""],""drainMoves"":[],""bestDrainMove"":null,""statusRecoveryPct"":50,""drainRecoveryPct"":0,""bestRecoveryPct"":50} || Pivot profile: {""hasPivot"":false,""hasContactPivot"":false,""hasNonContactPivot"":false,""contactPivotMoves"":[],""nonContactPivotMoves"":[]} || Status profile: {""hasStatus"":true,""hasStatusMoves"":true,""hasSecondaryStatusMoves"":false,""statusMoves"":[""Soft-Boiled"",""Thunder Wave""],""secondaryStatusMoves"":[]} || Setup profile: {""hasSetup"":false,""hasDefensiveSetup"":false,""hasNonDefensiveSetup"":false,""defensiveSetupMoves"":[],""nonDefensiveSetupMoves"":[]} || Switch-in axes before logic: weIntoThem=No, theyIntoUs=No || After recovery logic: weIntoThem=No, theyIntoUs=No || After pivot logic: weIntoThem=No, theyIntoUs=No || After status logic: weIntoThem=No, theyIntoUs=No || After setup logic: weIntoThem=No, theyIntoUs=No || After knock logic: weIntoThem=No, theyIntoUs=No || After speed/OHKO logic: weIntoThem=No, theyIntoUs=No || Derived bucket from adjusted axes: Pressures"
Gholdengo (Nasty Plot),Pressures,No,No,Crunch,85.7,101.6,Make It Rain,50.8,59.9,257,293,our best hit: Crunch (85.7-101.6%); worst hit into us: Make It Rain (50.8-59.9%); they are faster; status moves threaten the interaction,"Loaded set: Gholdengo / Nasty Plot || Threat moves considered: Make It Rain, Shadow Ball || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":true,""hasStatusRecovery"":true,""hasDrainRecovery"":false,""statusRecoveryMoves"":[""Recover""],""drainMoves"":[],""bestDrainMove"":null,""statusRecoveryPct"":50,""drainRecoveryPct"":0,""bestRecoveryPct"":50} || Pivot profile: {""hasPivot"":false,""hasContactPivot"":false,""hasNonContactPivot"":false,""contactPivotMoves"":[],""nonContactPivotMoves"":[]} || Status profile: {""hasStatus"":true,""hasStatusMoves"":true,""hasSecondaryStatusMoves"":false,""statusMoves"":[""Nasty Plot"",""Recover""],""secondaryStatusMoves"":[]} || Setup profile: {""hasSetup"":true,""hasDefensiveSetup"":false,""hasNonDefensiveSetup"":true,""defensiveSetupMoves"":[],""nonDefensiveSetupMoves"":[""Nasty Plot""]} || Switch-in axes before logic: weIntoThem=No, theyIntoUs=No || After recovery logic: weIntoThem=No, theyIntoUs=No || After pivot logic: weIntoThem=No, theyIntoUs=No || After status logic: weIntoThem=No, theyIntoUs=No || After setup logic: weIntoThem=No, theyIntoUs=No || After knock logic: weIntoThem=No, theyIntoUs=No || After speed/OHKO logic: weIntoThem=No, theyIntoUs=No || Derived bucket from adjusted axes: Pressures"
Zamazenta (All-Out Attacker),Pressures,No,No,Beak Blast,59.1,70.2,Stone Edge,52.5,61.9,257,412,our best hit: Beak Blast (59.1-70.2%); worst hit into us: Stone Edge (52.5-61.9%); they are faster; Beak Blast strongly punishes weaker contact lines,"Loaded set: Zamazenta / All-Out Attacker || Threat moves considered: Close Combat, Stone Edge, Crunch, Heavy Slam || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":false,""hasStatusRecovery"":false,""hasDrainRecovery"":false,""statusRecoveryMoves"":[],""drainMoves"":[],""bestDrainMove"":null,""statusRecoveryPct"":0,""drainRecoveryPct"":0,""bestRecoveryPct"":0} || Pivot profile: {""hasPivot"":false,""hasContactPivot"":false,""hasNonContactPivot"":false,""contactPivotMoves"":[],""nonContactPivotMoves"":[]} || Status profile: {""hasStatus"":false,""hasStatusMoves"":false,""hasSecondaryStatusMoves"":false,""statusMoves"":[],""secondaryStatusMoves"":[]} || Setup profile: {""hasSetup"":false,""hasDefensiveSetup"":false,""hasNonDefensiveSetup"":false,""defensiveSetupMoves"":[],""nonDefensiveSetupMoves"":[]} || Switch-in axes before logic: weIntoThem=No, theyIntoUs=No || After recovery logic: weIntoThem=No, theyIntoUs=No || After pivot logic: weIntoThem=No, theyIntoUs=No || After status logic: weIntoThem=No, theyIntoUs=No || After setup logic: weIntoThem=No, theyIntoUs=No || After knock logic: weIntoThem=No, theyIntoUs=No || After speed/OHKO logic: weIntoThem=No, theyIntoUs=No || Derived bucket from adjusted axes: Pressures"
Iron Crown (Specs),Pressures,No,No,Crunch,81.0,96.0,Tachyon Cutter,60.2,71.3,257,324,our best hit: Crunch (81.0-96.0%); worst hit into us: Tachyon Cutter (60.2-71.3%); they are faster,"Loaded set: Iron Crown / Specs || Threat moves considered: Tachyon Cutter, Psyshock, Volt Switch, Focus Blast || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":false,""hasStatusRecovery"":false,""hasDrainRecovery"":false,""statusRecoveryMoves"":[],""drainMoves"":[],""bestDrainMove"":null,""statusRecoveryPct"":0,""drainRecoveryPct"":0,""bestRecoveryPct"":0} || Pivot profile: {""hasPivot"":true,""hasContactPivot"":false,""hasNonContactPivot"":true,""contactPivotMoves"":[],""nonContactPivotMoves"":[""Volt Switch""]} || Status profile: {""hasStatus"":false,""hasStatusMoves"":false,""hasSecondaryStatusMoves"":false,""statusMoves"":[],""secondaryStatusMoves"":[]} || Setup profile: {""hasSetup"":false,""hasDefensiveSetup"":false,""hasNonDefensiveSetup"":false,""defensiveSetupMoves"":[],""nonDefensiveSetupMoves"":[]} || Switch-in axes before logic: weIntoThem=No, theyIntoUs=No || After recovery logic: weIntoThem=No, theyIntoUs=No || After pivot logic: weIntoThem=No, theyIntoUs=No || After status logic: weIntoThem=No, theyIntoUs=No || After setup logic: weIntoThem=No, theyIntoUs=No || After knock logic: weIntoThem=No, theyIntoUs=No || After speed/OHKO logic: weIntoThem=No, theyIntoUs=No || Derived bucket from adjusted axes: Pressures"
Latios (Calm Mind),Pressures,No,No,Crunch,103.7,122.3,Draco Meteor,64.9,76.5,257,350,our best hit: Crunch (103.7-122.3%); worst hit into us: Draco Meteor (64.9-76.5%); they are faster; status moves threaten the interaction,"Loaded set: Latios / Calm Mind || Threat moves considered: Draco Meteor, Psychic Noise || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":true,""hasStatusRecovery"":true,""hasDrainRecovery"":false,""statusRecoveryMoves"":[""Recover""],""drainMoves"":[],""bestDrainMove"":null,""statusRecoveryPct"":50,""drainRecoveryPct"":0,""bestRecoveryPct"":50} || Pivot profile: {""hasPivot"":false,""hasContactPivot"":false,""hasNonContactPivot"":false,""contactPivotMoves"":[],""nonContactPivotMoves"":[]} || Status profile: {""hasStatus"":true,""hasStatusMoves"":true,""hasSecondaryStatusMoves"":false,""statusMoves"":[""Recover"",""Calm Mind""],""secondaryStatusMoves"":[]} || Setup profile: {""hasSetup"":true,""hasDefensiveSetup"":true,""hasNonDefensiveSetup"":false,""defensiveSetupMoves"":[""Calm Mind""],""nonDefensiveSetupMoves"":[]} || Switch-in axes before logic: weIntoThem=No, theyIntoUs=No || After recovery logic: weIntoThem=No, theyIntoUs=No || After pivot logic: weIntoThem=No, theyIntoUs=No || After status logic: weIntoThem=No, theyIntoUs=No || After setup logic: weIntoThem=No, theyIntoUs=No || After knock logic: weIntoThem=No, theyIntoUs=No || After speed/OHKO logic: weIntoThem=No, theyIntoUs=No || Derived bucket from adjusted axes: Pressures"
Darkrai (Nasty Plot),Pressures,No,No,Beak Blast,63.0,74.0,Ice Beam,66.9,79.0,257,383,our best hit: Beak Blast (63.0-74.0%); worst hit into us: Ice Beam (66.9-79.0%); they are faster,"Loaded set: Darkrai / Nasty Plot || Threat moves considered: Dark Pulse, Focus Blast, Sludge Bomb, Ice Beam || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":false,""hasStatusRecovery"":false,""hasDrainRecovery"":false,""statusRecoveryMoves"":[],""drainMoves"":[],""bestDrainMove"":null,""statusRecoveryPct"":0,""drainRecoveryPct"":0,""bestRecoveryPct"":0} || Pivot profile: {""hasPivot"":false,""hasContactPivot"":false,""hasNonContactPivot"":false,""contactPivotMoves"":[],""nonContactPivotMoves"":[]} || Status profile: {""hasStatus"":true,""hasStatusMoves"":false,""hasSecondaryStatusMoves"":true,""statusMoves"":[],""secondaryStatusMoves"":[""Sludge Bomb"",""Ice Beam""]} || Setup profile: {""hasSetup"":false,""hasDefensiveSetup"":false,""hasNonDefensiveSetup"":false,""defensiveSetupMoves"":[],""nonDefensiveSetupMoves"":[]} || Switch-in axes before logic: weIntoThem=No, theyIntoUs=No || After recovery logic: weIntoThem=No, theyIntoUs=No || After pivot logic: weIntoThem=No, theyIntoUs=No || After status logic: weIntoThem=No, theyIntoUs=No || After setup logic: weIntoThem=No, theyIntoUs=No || After knock logic: weIntoThem=No, theyIntoUs=No || After speed/OHKO logic: weIntoThem=No, theyIntoUs=No || Derived bucket from adjusted axes: Pressures"
Hemogoblin (Offensive),Pressures,No,No,Beak Blast,55.3,65.3,Extreme Speed,71.3,84.5,257,200,"our best hit: Beak Blast (55.3-65.3%); worst hit into us: Extreme Speed (71.3-84.5%); we are faster; contact exists, but burn punishment is muted; faster Taunt blocks status moves","Loaded set: Hemogoblin / Offensive || Threat moves considered: Extreme Speed, Flare Blitz || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":false,""hasStatusRecovery"":false,""hasDrainRecovery"":false,""statusRecoveryMoves"":[],""drainMoves"":[],""bestDrainMove"":null,""statusRecoveryPct"":0,""drainRecoveryPct"":0,""bestRecoveryPct"":0} || Pivot profile: {""hasPivot"":false,""hasContactPivot"":false,""hasNonContactPivot"":false,""contactPivotMoves"":[],""nonContactPivotMoves"":[]} || Status profile: {""hasStatus"":true,""hasStatusMoves"":true,""hasSecondaryStatusMoves"":true,""statusMoves"":[""Taunt"",""Bulk Up""],""secondaryStatusMoves"":[""Flare Blitz""]} || Setup profile: {""hasSetup"":true,""hasDefensiveSetup"":true,""hasNonDefensiveSetup"":false,""defensiveSetupMoves"":[""Bulk Up""],""nonDefensiveSetupMoves"":[]} || Switch-in axes before logic: weIntoThem=No, theyIntoUs=No || After recovery logic: weIntoThem=No, theyIntoUs=No || After pivot logic: weIntoThem=No, theyIntoUs=No || After status logic: weIntoThem=No, theyIntoUs=No || After setup logic: weIntoThem=No, theyIntoUs=No || After knock logic: weIntoThem=No, theyIntoUs=No || After speed/OHKO logic: weIntoThem=No, theyIntoUs=No || Derived bucket from adjusted axes: Pressures"
Iron Valiant (Mixed Attacker),Pressures,No,No,Beak Blast,123.2,145.3,Moonblast,74.6,88.4,257,364,our best hit: Beak Blast (123.2-145.3%); worst hit into us: Moonblast (74.6-88.4%); they are faster; Beak Blast strongly punishes weaker contact lines; status moves threaten the interaction,"Loaded set: Iron Valiant / Mixed Attacker || Threat moves considered: Moonblast, Close Combat, Knock Off || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":false,""hasStatusRecovery"":false,""hasDrainRecovery"":false,""statusRecoveryMoves"":[],""drainMoves"":[],""bestDrainMove"":null,""statusRecoveryPct"":0,""drainRecoveryPct"":0,""bestRecoveryPct"":0} || Pivot profile: {""hasPivot"":false,""hasContactPivot"":false,""hasNonContactPivot"":false,""contactPivotMoves"":[],""nonContactPivotMoves"":[]} || Status profile: {""hasStatus"":true,""hasStatusMoves"":true,""hasSecondaryStatusMoves"":false,""statusMoves"":[""Encore""],""secondaryStatusMoves"":[]} || Setup profile: {""hasSetup"":false,""hasDefensiveSetup"":false,""hasNonDefensiveSetup"":false,""defensiveSetupMoves"":[],""nonDefensiveSetupMoves"":[]} || Switch-in axes before logic: weIntoThem=No, theyIntoUs=No || After recovery logic: weIntoThem=No, theyIntoUs=No || After pivot logic: weIntoThem=No, theyIntoUs=No || After status logic: weIntoThem=No, theyIntoUs=No || After setup logic: weIntoThem=No, theyIntoUs=No || After knock logic: weIntoThem=No, theyIntoUs=No || After speed/OHKO logic: weIntoThem=No, theyIntoUs=No || Derived bucket from adjusted axes: Pressures"
Walking Wake (Specs),Pressures,No,No,Beak Blast,51.8,60.8,Draco Meteor,77.9,92.0,257,348,our best hit: Beak Blast (51.8-60.8%); worst hit into us: Draco Meteor (77.9-92.0%); they are faster,"Loaded set: Walking Wake / Specs || Threat moves considered: Hydro Steam, Draco Meteor, Flamethrower, Dragon Pulse || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":false,""hasStatusRecovery"":false,""hasDrainRecovery"":false,""statusRecoveryMoves"":[],""drainMoves"":[],""bestDrainMove"":null,""statusRecoveryPct"":0,""drainRecoveryPct"":0,""bestRecoveryPct"":0} || Pivot profile: {""hasPivot"":false,""hasContactPivot"":false,""hasNonContactPivot"":false,""contactPivotMoves"":[],""nonContactPivotMoves"":[]} || Status profile: {""hasStatus"":true,""hasStatusMoves"":false,""hasSecondaryStatusMoves"":true,""statusMoves"":[],""secondaryStatusMoves"":[""Flamethrower""]} || Setup profile: {""hasSetup"":false,""hasDefensiveSetup"":false,""hasNonDefensiveSetup"":false,""defensiveSetupMoves"":[],""nonDefensiveSetupMoves"":[]} || Switch-in axes before logic: weIntoThem=No, theyIntoUs=No || After recovery logic: weIntoThem=No, theyIntoUs=No || After pivot logic: weIntoThem=No, theyIntoUs=No || After status logic: weIntoThem=No, theyIntoUs=No || After setup logic: weIntoThem=No, theyIntoUs=No || After knock logic: weIntoThem=No, theyIntoUs=No || After speed/OHKO logic: weIntoThem=No, theyIntoUs=No || Derived bucket from adjusted axes: Pressures"
Iron Moth (Specs),Pressures,No,No,Beak Blast,81.1,95.7,Overheat,85.4,100.6,257,350,our best hit: Beak Blast (81.1-95.7%); worst hit into us: Overheat (85.4-100.6%); they are faster,"Loaded set: Iron Moth / Specs || Threat moves considered: Overheat, Solar Beam, Fiery Dance, Sludge Wave || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":false,""hasStatusRecovery"":false,""hasDrainRecovery"":false,""statusRecoveryMoves"":[],""drainMoves"":[],""bestDrainMove"":null,""statusRecoveryPct"":0,""drainRecoveryPct"":0,""bestRecoveryPct"":0} || Pivot profile: {""hasPivot"":false,""hasContactPivot"":false,""hasNonContactPivot"":false,""contactPivotMoves"":[],""nonContactPivotMoves"":[]} || Status profile: {""hasStatus"":true,""hasStatusMoves"":false,""hasSecondaryStatusMoves"":true,""statusMoves"":[],""secondaryStatusMoves"":[""Sludge Wave""]} || Setup profile: {""hasSetup"":false,""hasDefensiveSetup"":false,""hasNonDefensiveSetup"":false,""defensiveSetupMoves"":[],""nonDefensiveSetupMoves"":[]} || Switch-in axes before logic: weIntoThem=No, theyIntoUs=No || After recovery logic: weIntoThem=No, theyIntoUs=No || After pivot logic: weIntoThem=No, theyIntoUs=No || After status logic: weIntoThem=No, theyIntoUs=No || After setup logic: weIntoThem=No, theyIntoUs=No || After knock logic: weIntoThem=No, theyIntoUs=No || After speed/OHKO logic: weIntoThem=No, theyIntoUs=No || Derived bucket from adjusted axes: Pressures"
Garganacl (SpDef),Checks,Soft,Safe,Crunch,24.8,29.2,Salt Cure,22.1,26.5,257,106,our best hit: Crunch (24.8-29.2%); worst hit into us: Salt Cure (22.1-26.5%); we are faster; faster Taunt blocks status recovery; faster Taunt blocks status moves,"Loaded set: Garganacl / SpDef || Threat moves considered: Salt Cure || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":true,""hasStatusRecovery"":true,""hasDrainRecovery"":false,""statusRecoveryMoves"":[""Recover""],""drainMoves"":[],""bestDrainMove"":null,""statusRecoveryPct"":50,""drainRecoveryPct"":0,""bestRecoveryPct"":50} || Pivot profile: {""hasPivot"":false,""hasContactPivot"":false,""hasNonContactPivot"":false,""contactPivotMoves"":[],""nonContactPivotMoves"":[]} || Status profile: {""hasStatus"":true,""hasStatusMoves"":true,""hasSecondaryStatusMoves"":false,""statusMoves"":[""Protect"",""Recover"",""Stealth Rock""],""secondaryStatusMoves"":[]} || Setup profile: {""hasSetup"":false,""hasDefensiveSetup"":false,""hasNonDefensiveSetup"":false,""defensiveSetupMoves"":[],""nonDefensiveSetupMoves"":[]} || Switch-in axes before logic: weIntoThem=Soft, theyIntoUs=Safe || After recovery logic: weIntoThem=Soft, theyIntoUs=Safe || After pivot logic: weIntoThem=Soft, theyIntoUs=Safe || After status logic: weIntoThem=Soft, theyIntoUs=Safe || After setup logic: weIntoThem=Soft, theyIntoUs=Safe || After knock logic: weIntoThem=Soft, theyIntoUs=Safe || After speed/OHKO logic: weIntoThem=Soft, theyIntoUs=Safe || Derived bucket from adjusted axes: Checks"
Mollux (SpDef),Checks,Soft,Safe,Beak Blast,48.3,57.3,Lava Plume,27.6,32.6,257,200,our best hit: Beak Blast (48.3-57.3%); worst hit into us: Lava Plume (27.6-32.6%); we are faster; faster Taunt blocks status recovery; faster Taunt blocks status moves; Fishing for status possible,"Loaded set: Mollux / SpDef || Threat moves considered: Lava Plume, Clear Smog || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":true,""hasStatusRecovery"":true,""hasDrainRecovery"":false,""statusRecoveryMoves"":[""Recover""],""drainMoves"":[],""bestDrainMove"":null,""statusRecoveryPct"":50,""drainRecoveryPct"":0,""bestRecoveryPct"":50} || Pivot profile: {""hasPivot"":false,""hasContactPivot"":false,""hasNonContactPivot"":false,""contactPivotMoves"":[],""nonContactPivotMoves"":[]} || Status profile: {""hasStatus"":true,""hasStatusMoves"":true,""hasSecondaryStatusMoves"":true,""statusMoves"":[""Recover"",""Stealth Rock""],""secondaryStatusMoves"":[""Lava Plume""]} || Setup profile: {""hasSetup"":false,""hasDefensiveSetup"":false,""hasNonDefensiveSetup"":false,""defensiveSetupMoves"":[],""nonDefensiveSetupMoves"":[]} || Switch-in axes before logic: weIntoThem=Safe, theyIntoUs=Safe || After recovery logic: weIntoThem=Safe, theyIntoUs=Safe || After pivot logic: weIntoThem=Safe, theyIntoUs=Safe || After status logic: weIntoThem=Soft, theyIntoUs=Safe || After setup logic: weIntoThem=Soft, theyIntoUs=Safe || After knock logic: weIntoThem=Soft, theyIntoUs=Safe || After speed/OHKO logic: weIntoThem=Soft, theyIntoUs=Safe || Derived bucket from adjusted axes: Checks"
Gliscor (Utility),Counters,No,Safe,Beak Blast,33.2,39.2,Knock Off,8.6,9.9,257,270,"our best hit: Beak Blast (33.2-39.2%); worst hit into us: Knock Off (8.6-9.9%); they are faster; contact exists, but burn punishment is muted; status moves threaten the interaction","Loaded set: Gliscor / Utility || Threat moves considered: Earthquake, Knock Off || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":false,""hasStatusRecovery"":false,""hasDrainRecovery"":false,""statusRecoveryMoves"":[],""drainMoves"":[],""bestDrainMove"":null,""statusRecoveryPct"":0,""drainRecoveryPct"":0,""bestRecoveryPct"":0} || Pivot profile: {""hasPivot"":false,""hasContactPivot"":false,""hasNonContactPivot"":false,""contactPivotMoves"":[],""nonContactPivotMoves"":[]} || Status profile: {""hasStatus"":true,""hasStatusMoves"":true,""hasSecondaryStatusMoves"":false,""statusMoves"":[""Toxic"",""Protect""],""secondaryStatusMoves"":[]} || Setup profile: {""hasSetup"":false,""hasDefensiveSetup"":false,""hasNonDefensiveSetup"":false,""defensiveSetupMoves"":[],""nonDefensiveSetupMoves"":[]} || Switch-in axes before logic: weIntoThem=Soft, theyIntoUs=Safe || After recovery logic: weIntoThem=Soft, theyIntoUs=Safe || After pivot logic: weIntoThem=Soft, theyIntoUs=Safe || After status logic: weIntoThem=No, theyIntoUs=Safe || After setup logic: weIntoThem=No, theyIntoUs=Safe || After knock logic: weIntoThem=No, theyIntoUs=Safe || After speed/OHKO logic: weIntoThem=No, theyIntoUs=Safe || Derived bucket from adjusted axes: Counters"
Weezing-Galar (PhysDef),Counters,No,Safe,Beak Blast,30.8,36.8,Sludge Bomb,21.5,25.7,257,156,our best hit: Beak Blast (30.8-36.8%); worst hit into us: Sludge Bomb (21.5-25.7%); we are faster; faster Taunt blocks status moves; Fishing for status possible,"Loaded set: Weezing-Galar / PhysDef || Threat moves considered: Sludge Bomb || Our moves considered: Beak Blast, Crunch || Recovery profile: {""hasRecovery"":false,""hasStatusRecovery"":false,""hasDrainRecovery"":false,""statusRecoveryMoves"":[],""drainMoves"":[],""bestDrainMove"":null,""statusRecoveryPct"":0,""drainRecoveryPct"":0,""bestRecoveryPct"":0} || Pivot profile: {""hasPivot"":false,""hasContactPivot"":false,""hasNonContactPivot"":false,""contactPivotMoves"":[],""nonContactPivotMoves"":[]} || Status profile: {""hasStatus"":true,""hasStatusMoves"":true,""hasSecondaryStatusMoves"":true,""statusMoves"":[""Pain Split"",""Will-O-Wisp"",""Defog""],""secondaryStatusMoves"":[""Sludge Bomb""]} || Setup profile: {""hasSetup"":false,""hasDefensiveSetup"":false,""hasNonDefensiveSetup"":false,""defensiveSetupMoves"":[],""nonDefensiveSetupMoves"":[]} || Switch-in axes before logic: weIntoThem=Soft, theyIntoUs=Safe || After recovery logic: weIntoThem=Soft, theyIntoUs=Safe || After pivot logic: weIntoThem=Soft, theyIntoUs=Safe || After status logic: weIntoThem=No, theyIntoUs=Safe || After setup logic: weIntoThem=No, theyIntoUs=Safe || After knock logic: weIntoThem=No, theyIntoUs=Safe || After speed/OHKO logic: weIntoThem=No, theyIntoUs=Safe || Derived bucket from adjusted axes: Counters"
